event_name,gender,nationality,age_group,division,total_time,work_time,roxzone_time,run_time
S4 2022 London,male,GBR,35-39,open,01:02:13,00:24:43,00:04:59,00:32:31
S4 2022 London,male,GBR,30-34,open,01:03:39,00:25:56,00:04:30,00:33:13
S4 2022 London,male,GBR,30-34,open,01:03:46,00:25:52,00:05:03,00:32:51
S4 2022 London,male,GBR,30-34,open,01:04:24,00:25:32,00:05:24,00:33:28
S4 2022 London,male,GBR,30-34,open,01:05:07,00:25:53,00:05:15,00:33:59
S4 2022 London,male,GBR,55-59,open,01:05:42,00:27:18,00:04:49,00:33:35
S4 2022 London,male,GBR,30-34,open,01:06:01,00:27:38,00:05:24,00:32:59
S4 2022 London,male,GBR,16-24,open,01:06:06,00:26:51,00:04:52,00:34:23
S4 2022 London,male,GBR,40-44,open,01:06:12,00:28:10,00:04:32,00:33:30
S4 2022 London,male,GBR,25-29,open,01:06:12,00:26:10,00:04:48,00:35:14
S4 2022 London,male,GBR,30-34,open,01:06:37,00:27:43,00:04:25,00:34:29
S4 2022 London,male,GBR,30-34,open,01:07:24,00:26:48,00:06:02,00:34:34
S4 2022 London,male,GBR,30-34,open,01:07:24,00:27:04,00:04:47,00:35:33
S4 2022 London,male,GBR,25-29,open,01:07:54,00:29:15,00:04:40,00:33:59
S4 2022 London,male,GBR,40-44,open,01:08:01,00:27:20,00:04:49,00:35:52
S4 2022 London,male,GBR,25-29,open,01:08:22,00:27:12,00:04:58,00:36:12
S4 2022 London,male,GBR,40-44,open,01:08:25,00:29:50,00:06:39,00:31:56
S4 2022 London,male,GBR,30-34,open,01:08:41,00:29:30,00:05:01,00:34:10
S4 2022 London,male,GBR,30-34,open,01:09:08,00:27:23,00:05:27,00:36:18
S4 2022 London,male,GBR,40-44,open,01:09:25,00:28:22,00:05:03,00:36:00
S4 2022 London,male,GBR,40-44,open,01:09:30,00:26:56,00:04:35,00:37:59
S4 2022 London,male,GBR,30-34,open,01:09:41,00:27:08,00:05:35,00:36:58
S4 2022 London,male,AUT,35-39,open,01:09:53,00:28:50,00:06:50,00:34:13
S4 2022 London,male,GBR,50-54,open,01:09:58,00:28:21,00:04:38,00:36:59
S4 2022 London,male,GBR,40-44,open,01:10:02,00:29:42,00:06:20,00:34:00
S4 2022 London,male,GBR,30-34,open,01:10:12,00:28:58,00:06:01,00:35:13
S4 2022 London,male,GBR,30-34,open,01:10:31,00:31:24,00:05:01,00:34:06
S4 2022 London,male,GBR,40-44,open,01:10:37,00:30:51,00:05:18,00:34:28
S4 2022 London,male,GBR,30-34,open,01:10:58,00:28:16,00:05:26,00:37:16
S4 2022 London,male,GBR,35-39,open,01:11:10,00:27:24,00:06:03,00:37:43
S4 2022 London,male,GBR,40-44,open,01:11:14,00:30:49,00:05:20,00:35:05
S4 2022 London,male,GBR,30-34,open,01:11:17,00:30:09,00:05:34,00:35:34
S4 2022 London,male,GBR,30-34,open,01:11:30,00:28:13,00:05:33,00:37:44
S4 2022 London,male,GBR,35-39,open,01:11:34,00:31:03,00:06:02,00:34:29
S4 2022 London,male,GBR,35-39,open,01:11:35,00:28:00,00:05:11,00:38:24
S4 2022 London,male,GBR,30-34,open,01:11:37,00:28:34,00:05:16,00:37:47
S4 2022 London,male,SUI,35-39,open,01:11:43,00:29:09,00:05:23,00:37:11
S4 2022 London,male,GBR,40-44,open,01:11:44,00:28:16,00:05:20,00:38:08
S4 2022 London,male,GBR,16-24,open,01:11:57,00:27:32,00:05:27,00:38:58
S4 2022 London,male,GBR,40-44,open,01:12:07,00:29:47,00:05:42,00:36:38
S4 2022 London,male,ESP,30-34,open,01:12:18,00:29:11,00:05:36,00:37:31
S4 2022 London,male,GBR,30-34,open,01:12:36,00:32:12,00:05:13,00:35:11
S4 2022 London,male,GBR,45-49,open,01:12:40,00:28:46,00:06:03,00:37:51
S4 2022 London,male,GBR,30-34,open,01:12:45,00:29:00,00:06:03,00:37:42
S4 2022 London,male,GBR,25-29,open,01:12:48,00:29:17,00:06:03,00:37:28
S4 2022 London,male,GBR,30-34,open,01:12:51,00:27:58,00:05:25,00:39:28
